Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,combined_features
 Test Principal Engineer,8 - 10 yrs, Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,Programming & Design,Bengaluru,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,77.590082,12.9767936,1586," Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys Testing Engineer IT-Software, Software Services IT Software - QA & Testing"
 Graphic Designer,2 - 7 yrs, Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive,Creative,Ahmedabad,"Design , Creative , User Experience","Architecture, Interior Design",Graphic Designer,72.5797068,23.0216238,3076," Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive Graphic Designer Architecture, Interior Design Design , Creative , User Experience"
 Business Development Executive,1 - 3 yrs, Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost,Corporate Sales,Bengaluru,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer,77.590082,12.9767936,4264," Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost Sales Executive/Officer Recruitment, Staffing Sales , Retail , Business Development"
 Animation Resident,2 - 6 yrs, Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior,Advertising,Delhi,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing Executive,77.2219388,28.6517178,2876," Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior Client Servicing Executive Advertising, PR, MR, Event Management Marketing , Advertising , MR , PR , Media Planning"
Enterprise Business Development Representative, 1 - 3 Years,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales,Channel Sales,Bengaluru,"Sales , Retail , Business Development",IT-Software / Software Services,Sales Executive / Officer,77.590082,12.9767936,4577,"market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales Sales Executive / Officer IT-Software / Software Services Sales , Retail , Business Development"
 Dot Net Developer,2 - 5 yrs, jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,Programming & Design,"Chennai,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,79.8077463,11.9256207,4154," jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
" Urgent Opening for ""US Staffing Professionals"" - Noida",1 - 5 yrs, technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,HR/ Recruitment / IR,"Delhi NCR,Noida","HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,121.0977529,14.6719732,2548," technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing Recruitment Executive Recruitment, Staffing HR , Recruitment , Administration , IR"
 Front Office Executive-Noida,1 - 2 yrs, Front Office Executive,,Noida,"Executive Assistant , Front Office , Data Entry","Recruitment, Staffing",Receptionist,77.3271074,28.5707841,2882," Front Office Executive Receptionist Recruitment, Staffing Executive Assistant , Front Office , Data Entry"
 Project Executive/coordinator,2 - 4 yrs, Project Administration| Coordination,Sales Support,Delhi (Bhikaji Cama) ,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator,77.1878709,28.5702618,6053," Project Administration| Coordination Sales Coordinator Industrial Products, Heavy Machinery Sales , Retail , Business Development"
 Sterling OMS Architect,5 - 10 yrs, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,System Design/Implementation/ERP/CRM,Chennai,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect,80.270186,13.0836939,1889," Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce Solution Architect / Enterprise Architect IT-Software, Software Services IT Software - eCommerce , Internet Technologies"
 Dot net Developer,3 - 5 yrs, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,Programming & Design,"Gurgaon,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.00270015,28.42826235,6744," analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Centreless Grinding Operator ,4 - 8 yrs, NCTVT,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician,73.8544541,18.521428,1586," NCTVT Workman/Foreman/Technician Internet, Ecommerce Production , Manufacturing , Maintenance"
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,8 - 13 yrs, Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,77.00270015,28.42826235,5161," Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services Software Developer Recruitment, Staffing IT Software - Application Programming , Maintenance"
 Sales Lead,3 - 7 yrs, Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer,77.590082,12.9767936,5684," Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation Sales Executive/Officer Internet, Ecommerce Sales , Retail , Business Development"
 Clerk - Garh Shankar (Vacancy-1),Not Mentioned,vide,,Chandigarh,"Executive Assistant , Front Office , Data Entry","Government, Defence",,76.7797143,30.7334421,4488,"vide  Government, Defence Executive Assistant , Front Office , Data Entry"
 Senior Design Engineer - Manufacturing,6 - 8 yrs, AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Design Engineer/Manager,73.8544541,18.521428,3248," AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks Design Engineer/Manager Industrial Products, Heavy Machinery Production , Manufacturing , Maintenance"
 Software Engineer Automation - Industrial Automation Job In Bangalore,3 - 5 yrs, Automation Engineer,Engineering Design,Bengaluru,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead,77.590082,12.9767936,2265," Automation Engineer Technical Lead/Project Lead Industrial Products, Heavy Machinery Engineering Design , R&D"
 Looking For Assistant Manager - Healthcare (US Visa is Must),5 - 10 yrs, Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,Back Office/Web/Transaction Processing,Chennai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Team Leader -(NonTechnical),80.270186,13.0836939,1569," Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM Team Leader -(NonTechnical) Medical, Healthcare, Hospitals ITES , BPO , KPO , LPO , Customer Service , Operations"
 Senior Accounts Executive,4 - 8 yrs,vide,Accounts,Kolkata,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,88.35769124,22.5414185,3724,"vide Accounts Executive/Accountant Recruitment, Staffing Accounts , Finance , Tax , Company Secretary , Audit"
 QA for Voice Process (LE-0097-N1C),2 - 6 yrs, Voice process| qaqc| Writing| Process operations| Verbal,Quality,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Quality Assurance/Quality Control Executive,73.8544541,18.521428,3930," Voice process| qaqc| Writing| Process operations| Verbal Quality Assurance/Quality Control Executive Internet, Ecommerce ITES , BPO , KPO , LPO , Customer Service , Operations"
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon",0 - 3 yrs, Patient Care| Nursing| People Orientation| Report Generation| Service Quality| Disaster Management| Customer Care| Medical| Process Orientation,,Delhi NCR,Other,"Medical, Healthcare, Hospitals",Other,77.1212148,28.6882438,3934," Patient Care| Nursing| People Orientation| Report Generation| Service Quality| Disaster Management| Customer Care| Medical| Process Orientation Other Medical, Healthcare, Hospitals Other"
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,4 - 9 yrs, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics & BI,Gurgaon,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager,77.00270015,28.42826235,6023," Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python Analytics Manager IT-Software, Software Services Analytics & Business Intelligence"
 Executive Medical Coder,0 - 0 yrs, molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,Other,"Chennai,Thanjavur,Karur,Salem,Hosur,Coimbatore","ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Trainee,,,4388," molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech Trainee Medical, Healthcare, Hospitals ITES , BPO , KPO , LPO , Customer Service , Operations"
 Account Assistant,3 - 5 yrs, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant,73.8544541,18.521428,2776," accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation Accounts Executive/Accountant Architecture, Interior Design Accounts , Finance , Tax , Company Secretary , Audit"
 Informatica Faculty Job Requirement in Hyderabad,1 - 6 yrs, Informatica Power Center| Informatica,Programming & Design,Hyderabad,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,78.4740613,17.360589,1900," Informatica Power Center| Informatica Software Developer IT-Software, Software Services IT Software - DBA , Datawarehousing"
 SEO Expert/ Digital Marketing Gurgaon,2 - 4 yrs, digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Search Engine Optimisation /SEO Specialist,77.00270015,28.42826235,3304," digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing Search Engine Optimisation /SEO Specialist Advertising, PR, MR, Event Management Marketing , Advertising , MR , PR , Media Planning"
 Head Engineering,5 - 10 yrs, Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,Production/Manufacturing/Maintenance,Delhi,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Engineering Manager,77.2219388,28.6517178,6496," Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who Engineering Manager Pharma, Biotech, Clinical Research Production , Manufacturing , Maintenance"
 Business Development Executive,5 - 10 yrs, Forecasting,Finance/Audit,Delhi,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Financial Analyst,77.2219388,28.6517178,3327," Forecasting Financial Analyst Oil and Gas, Energy, Power, Infrastructure Accounts , Finance , Tax , Company Secretary , Audit"
 PPC Executive,3 - 7 yrs, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",PPC /Pay Per Click Specialist,77.00270015,28.42826235,5858," Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives PPC /Pay Per Click Specialist IT-Software, Software Services Marketing , Advertising , MR , PR , Media Planning"
 Opening For the post of Mr/territory Business Manager in An Pharma,0 - 2 yrs, marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,Retail Sales,"Delhi NCR,Delhi","Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative,121.0977529,14.6719732,6677," marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive Medical Representative Pharma, Biotech, Clinical Research Sales , Retail , Business Development"
 Deputy Manager - Program Management,2 - 6 yrs, Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Project Manager-Production/Manufacturing/Maintenance,73.8544541,18.521428,6256," Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle Project Manager-Production/Manufacturing/Maintenance Industrial Products, Heavy Machinery Production , Manufacturing , Maintenance"
 Public Relations Manager - Bangalore,6 - 11 yrs, PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication,Public Relations,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager,77.590082,12.9767936,2980," PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication Public Relations & Media Relations Manager Advertising, PR, MR, Event Management Marketing , Advertising , MR , PR , Media Planning"
 Female Fresher's Counsellor- Gurgaon,0 - 1 yrs, counselling| couselling| fresher| student counsellor| student counseling,Other,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Fresher,77.00270015,28.42826235,3203," counselling| couselling| fresher| student counsellor| student counseling Fresher Education, Teaching, Training ITES , BPO , KPO , LPO , Customer Service , Operations"
 BE Chemical - Fresher,0 - 2 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Other,"Ahmedabad,Bharuch","Production , Manufacturing , Maintenance","Recruitment, Staffing",Fresher,72.9384385,21.7379333,2117," Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management Fresher Recruitment, Staffing Production , Manufacturing , Maintenance"
 Senior .Net Developer For Leading IT Company in Gurgaon,2 - 7 yrs, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,Programming & Design,"Delhi NCR,Gurgaon,Delhi","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,,,4640," asp dot net| .net developer| Dot Net Developer| asp.net| asp . net Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Hiring a Valuation Associate (female Only),0 - 4 yrs, Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling,Other,Gurgaon,Analytics & Business Intelligence,"Real Estate, Property",Other,77.00270015,28.42826235,6276," Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling Other Real Estate, Property Analytics & Business Intelligence"
 Merchandising & Marketing- Professor,10 - 12 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,Pune,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor,73.8544541,18.521428,5173," Teaching| Educator| Counselor| Mentor| Trainer| Advisor Lecturer/Professor Education, Teaching, Training Teaching , Education , Training , Counselling"
 Medical Transcriber,3 - 5 yrs, X - Ray| Medical Transcription| Ultrasound| CT Scan,Drug Regulatory Affairs/Documentation,Delhi,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing,77.2219388,28.6517178,6125," X - Ray| Medical Transcription| Ultrasound| CT Scan Documentation/Medical Writing Medical, Healthcare, Hospitals Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 PHP Developer,0 - 3 yrs, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,Programming & Design,"Noida,Noida/Greater Noida","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.3327483,28.54322285,5518," cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Business Development Manager,1 - 2 yrs, Sales| Management| Sales management| Educational sales,Retail Sales,Noida,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager,77.3271074,28.5707841,5099," Sales| Management| Sales management| Educational sales Sales/Business Development Manager Education, Teaching, Training Sales , Retail , Business Development"
 Looking for a Job Change With a good package,1 - 5 yrs, Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,5809," Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp Associate/Senior Associate -(NonTechnical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
 Huge Requirement for Customer Care Executive with Fixed Salary,0 - 2 yrs, Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,4466," Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software Associate/Senior Associate -(NonTechnical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
Assistant Manager – BI&I (data Automation), 5 - 7 Years,C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration,Admin/Maintenance/Security/Datawarehousing, Mumbai,"IT Software - Application Programming , Maintenance",Banking / Financial Services / Broking,IT/Networking-Manager,72.8773928,19.0759899,1565,"C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration IT/Networking-Manager Banking / Financial Services / Broking IT Software - Application Programming , Maintenance"
 Field Sales Executive,0 - 2 yrs, Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales,Retail Sales,Ghaziabad,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,77.45268496,28.7218316,3150," Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales Sales Executive/Officer Real Estate, Property Sales , Retail , Business Development"
 Sr. Manager Sales Capability Building,10 - 15 yrs, Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI,Sales Support,Kolkata,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Sales Trainer,88.35769124,22.5414185,3702," Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI Sales Trainer FMCG, Foods, Beverage Sales , Retail , Business Development"
 Service Ops Expert - Servc Del | Microland,2 - 5 yrs, Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP,Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),72.8773928,19.0759899,5079," Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP Associate/Senior Associate -(Technical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females),4 - 9 yrs, planning| training| training manager| trainer| faculty,Teachers,"Ahmedabad,Indore","Teaching , Education , Training , Counselling","Wellness , Fitness , Sports, Beauty",Trainer,75.8226156,22.7066324,6619," planning| training| training manager| trainer| faculty Trainer Wellness , Fitness , Sports, Beauty Teaching , Education , Training , Counselling"
 Sales Manager,3 - 6 yrs, Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail,Retail Sales,Chandigarh,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,76.7797143,30.7334421,4874," Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail Sales/Business Development Manager IT-Software, Software Services Sales , Retail , Business Development"
 Field Support Team-Supervisor,4 - 5 yrs, customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic,Admin/Maintenance/Security/Datawarehousing,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance",Other,Technical Support Engineer,72.5797068,23.0216238,5698," customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic Technical Support Engineer Other IT Software - Application Programming , Maintenance"
 Sr. C# Developer,1 - 6 yrs, Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,72.5797068,23.0216238,5162," Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Sr Structural Engineer,5 - 10 yrs, Senior Design Engineer| Engineering Design| SACS,Engineering Design,Mumbai,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer,72.8773928,19.0759899,4160," Senior Design Engineer| Engineering Design| SACS Senior Design Engineer Strategy, Management Consulting Firms Engineering Design , R&D"
 IT Security Head ,4 - 8 yrs, C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Senior Management,Hyderabad,"IT Software - Network Administration , Security","IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO,78.4740613,17.360589,3495," C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems Head/VP/GM-Technology(IT)/CTO IT-Software, Software Services IT Software - Network Administration , Security"
 Technical Support Executive,2 - 5 yrs, Technical Support Executive| Electrical engineering,Voice,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Associate/Senior Associate -(Technical),73.8544541,18.521428,5049," Technical Support Executive| Electrical engineering Associate/Senior Associate -(Technical) Internet, Ecommerce ITES , BPO , KPO , LPO , Customer Service , Operations"
 Analyst - Business Intelligence,1 - 3 yrs, Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction,System Design/Implementation/ERP/CRM,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst,72.8773928,19.0759899,6346," Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction Business Analyst IT-Software, Software Services IT Software - Application Programming , Maintenance"
Nokia WING Circuit Core - SMSC Engineer, 5 - 10 Years,Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching,Programming & Design,Noida,"IT Software - Network Administration , Security",Telecom / ISP,Software Developer,77.3271074,28.5707841,2040,"Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching Software Developer Telecom / ISP IT Software - Network Administration , Security"
 Assistant Restaurant Manager / Restaurant Manager,5 - 7 yrs, assistant restaurant manager| restaurant| restaurant manager,Food & Beverage,Delhi NCR,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Restaurant Manager,77.1212148,28.6882438,4142," assistant restaurant manager| restaurant| restaurant manager Restaurant Manager Travel , Hotels , Restaurants , Airlines , Railways Hotels , Restaurants"
 Digital / Web Artist,0 - 3 yrs, layout| visualization| digital media| graphic design| html| illustration| tools| part time,Creative,"Mumbai,Mumbai","Design , Creative , User Experience","Advertising, PR, MR, Event Management",Graphic Designer,72.8773928,19.0759899,2409," layout| visualization| digital media| graphic design| html| illustration| tools| part time Graphic Designer Advertising, PR, MR, Event Management Design , Creative , User Experience"
 Business Development Manager,2 - 7 yrs, selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,Senior Management,"Mumbai,Mumbai","Sales , Retail , Business Development","IT-Software, Software Services",Head/VP/GM/National Manager -Sales,72.8773928,19.0759899,5623," selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining Head/VP/GM/National Manager -Sales IT-Software, Software Services Sales , Retail , Business Development"
 Web/ GUI Designer,3 - 5 yrs, photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,Creative,Gurgaon,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer,77.00270015,28.42826235,3031," photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static Web Designer IT-Software, Software Services Design , Creative , User Experience"
" Web Designer - Html, CSS, Bootstrap, Photoshop",1 - 3 yrs, Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing",Graphic/Web Designer,72.5797068,23.0216238,5617," Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS Graphic/Web Designer Recruitment, Staffing IT Software - eCommerce , Internet Technologies"
 Python Developer,1 - 3 yrs, Python,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,80.270186,13.0836939,6417," Python Software Developer Recruitment, Staffing IT Software - Application Programming , Maintenance"
 Web Designer,4 - 5 yrs, server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Graphic/Web Designer,72.5797068,23.0216238,6991," server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3 Graphic/Web Designer IT-Software, Software Services IT Software - eCommerce , Internet Technologies"
 AVP- FX MO,8 - 10 yrs, Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President,Senior Management,Mumbai,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations,72.8773928,19.0759899,2171," Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President Head/VP/GM-Operations Recruitment, Staffing Financial Services , Banking , Investments , Insurance"
